기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20150401153500,84308.0,63859.81,65600.0,20448.19,32.02044,18339.19,28.71789
20150401154000,84308.0,63823.66,65600.0,20484.34,32.09522,18375.34,28.7908
20150401154500,84308.0,63949.39,65600.0,20358.61,31.8355,18249.61,28.53758
20150401155000,84308.0,64057.74,65600.0,20250.26,31.6125,18141.26,28.32016
20150401155500,84308.0,64118.54,65600.0,20189.46,31.48771,18080.46,28.19849
20150401160000,84308.0,64206.6,65600.0,20101.4,31.30738,17992.4,28.02267
20150401160500,83908.0,64322.96,65600.0,19585.04,30.44798,17476.04,27.16921
20150401161000,83908.0,64212.82,65600.0,19695.18,30.67171,17586.18,27.38733
20150401161500,83908.0,64256.66,65600.0,19651.35,30.58258,17542.35,27.30043
20150401162000,83908.0,64208.95,65600.0,19699.04,30.67959,17590.04,27.395
20150401162500,83908.0,64350.2,65600.0,19557.79,30.39275,17448.79,27.11537
20150401163000,83908.0,64164.67,65600.0,19743.33,30.76978,17634.33,27.48292
20150401163500,83908.0,64269.34,65600.0,19638.66,30.55681,17529.66,27.27531
20150401164000,83908.0,64470.59,65600.0,19437.42,30.14928,17328.42,26.87802
20150401164500,83908.0,64338.32,65600.0,19569.68,30.41684,17460.68,27.13885
20150401165000,83908.0,64074.41,65600.0,19833.59,30.95399,17724.59,27.6625
20150401165500,83908.0,64005.76,65600.0,19902.24,31.09446,17793.24,27.79944
20150401170000,83908.0,63737.04,65600.0,20170.96,31.64716,18061.96,28.33825
20150401170500,83908.0,63788.57,65600.0,20119.43,31.54081,18010.43,28.23458
20150401171000,84506.0,63837.25,65600.0,20668.75,32.37725,18559.75,29.07354
20150401171500,84506.0,63598.86,65600.0,20907.14,32.87344,18798.14,29.55735
20150401172500,84506.0,63625.69,65600.0,20880.31,32.81742,18771.31,29.50272
20150401173000,84506.0,63468.17,65600.0,21037.83,33.14706,18928.83,29.82413
20150401173500,84506.0,63214.61,65600.0,21291.39,33.68113,19182.39,30.34488
20150401174000,84506.0,63210.5,65600.0,21295.5,33.68982,19186.5,30.35335
20150401174500,84506.0,62939.61,65600.0,21566.39,34.26521,19457.39,30.91438
20150401175000,84506.0,63077.66,65600.0,21428.34,33.97137,19319.34,30.62787
20150401175500,84506.0,63049.92,65600.0,21456.08,34.03031,19347.08,30.68534
20150401180000,84506.0,62624.9,65600.0,21881.1,34.93993,19772.1,31.57226
20150401180500,84506.0,62675.41,65600.0,21830.59,34.83119,19721.59,31.46624
20150401181000,84506.0,62670.75,65600.0,21835.25,34.84121,19726.25,31.47601
20150401181500,84506.0,62606.61,65600.0,21899.39,34.97936,19790.39,31.61071
20150401182000,84506.0,62870.47,65600.0,21635.53,34.41287,19526.53,31.05836
20150401182500,84506.0,62858.52,65600.0,21647.48,34.43842,19538.48,31.08327
20150401183000,84506.0,62929.06,65600.0,21576.94,34.28772,19467.94,30.93633
20150401183500,84506.0,63190.79,65600.0,21315.21,33.73151,19206.21,30.39399
20150401184000,84506.0,63167.67,65600.0,21338.33,33.78045,19229.33,30.44172
20150401184500,84506.0,63505.88,65600.0,21000.12,33.06799,18891.12,29.74703
20150401185000,84506.0,63375.91,65600.0,21130.09,33.34089,19021.09,30.01313
20150401185500,84506.0,63562.31,65600.0,20943.69,32.94985,18834.69,29.63185
20150401190000,84506.0,63417.16,65600.0,21088.84,33.25415,18979.84,29.92856
20150401190500,84506.0,63732.85,65600.0,20773.15,32.59411,18664.15,29.28498
20150401191000,84506.0,63933.66,65600.0,20572.34,32.17764,18463.34,28.87891
20150401191500,84506.0,64135.43,65600.0,20370.57,31.7618,18261.57,28.47345
20150401192000,84506.0,63733.05,65600.0,20772.94,32.59367,18663.94,29.28456
20150401192500,84506.0,63886.73,65600.0,20619.27,32.27474,18510.27,28.97358
20150401193000,84506.0,63680.67,65600.0,20825.33,32.70275,18716.33,29.39091
20150401193500,84506.0,63718.59,65600.0,20787.41,32.62377,18678.41,29.3139
20150401194000,84506.0,63332.2,65600.0,21173.8,33.43292,19064.8,30.10286
20150401194500,84506.0,63280.95,65600.0,21225.04,33.54097,19116.04,30.20821
20150401195000,84506.0,63125.03,65600.0,21380.97,33.87083,19271.97,30.52984
20150401195500,84506.0,63175.51,65600.0,21330.49,33.76387,19221.49,30.42555
20150401200000,84506.0,63053.95,65600.0,21452.05,34.02175,19343.05,30.67699
20150401200500,84459.0,63161.09,65600.0,21297.91,33.71999,19188.91,30.38091
20150401201000,84459.0,62948.98,65600.0,21510.02,34.17057,19401.02,30.82024
20150401201500,84459.0,62723.99,65600.0,21735.01,34.65184,19626.01,31.28949
20150401202000,84459.0,62900.44,65600.0,21558.56,34.2741,19449.56,30.92118
20150401202500,84459.0,62859.27,65600.0,21599.73,34.36205,19490.73,31.00693
20150401203000,84459.0,62672.11,65600.0,21786.89,34.76329,19677.89,31.39815
20150401203500,84459.0,62687.7,65600.0,21771.3,34.72977,19662.3,31.36548
20150401204000,84459.0,62401.09,65600.0,22057.91,35.34861,19948.91,31.96886
20150401204500,84459.0,62337.51,65600.0,22121.49,35.48664,20012.49,32.10344
20150401205000,84459.0,62104.82,65600.0,22354.18,35.99428,20245.18,32.5984
20150401205500,84459.0,62020.73,65600.0,22438.27,36.17867,20329.27,32.77819
20150401210000,84459.0,61874.6,65600.0,22584.4,36.50027,20475.4,33.09177
20150401210500,84459.0,61913.23,65600.0,22545.77,36.4151,20436.77,33.00872
