년,월,일,요일,휴일여부,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),합계 일사(MJ/m2),최대전력(MW)
2006,7,14,5,0,27.2,25.2,29.2,2.2,79,28.8,9.55,55263
2006,7,15,6,1,24.1,21.1,27.2,3.9,90.4,27.6,2.18,48510
2006,7,16,7,1,18.7,17.7,21.2,1.9,96,21,0.83,40162
2006,7,17,1,1,19.2,18.7,20.3,1.3,93.5,21.2,2.38,42056
2006,7,18,2,0,19.1,17.5,20.7,3,93,20.9,2.75,47245
2006,7,19,3,0,21.8,18.5,24.2,2.6,78.1,20.6,7.08,46456
2006,7,20,4,0,21.7,19.1,24.7,2.2,78,20.4,7.51,47025
2006,7,21,5,0,22.1,18.8,26.7,1.9,81.4,21.7,10.08,47547
2006,7,22,6,1,23.4,21.2,27.5,3.2,78.4,22.6,19.11,44570
2006,7,23,7,1,23.4,20.1,28.1,1.4,73.3,21.2,12.94,40194
2006,7,24,1,0,23.4,21.6,26.6,1.6,71.5,20.8,9.12,48130
2006,7,25,2,0,24.7,20.7,28.3,1.1,68,21.3,13.39,49225
2006,7,26,3,0,22.2,20.7,24.6,1.6,84.5,22.9,3.43,48163
2006,7,27,4,0,20.9,20.1,22,2.5,94.6,23.8,1.19,48852
2006,7,28,5,0,21.8,20.6,23.2,1.4,94.5,25.1,1.51,48913
2006,7,29,6,1,24.6,22.1,27.2,1.5,89.3,27.9,6.97,44351
2006,7,30,7,1,26.1,24.3,29.7,2.2,83.3,28.6,8.08,42988
2006,7,31,1,0,26.5,24.6,30.1,3.2,75.8,26.5,12.3,48135
2006,8,1,2,0,27.7,24.7,32,2.8,67.4,25,17.86,48352
2006,8,2,3,0,28,24.2,32,2.5,68.5,25.8,19.43,49300
2006,8,3,4,0,28.6,24,33.2,1.7,67.8,26.5,18.73,51775
2006,8,4,5,0,29.5,24.8,34.7,1.9,64.6,26.4,25.77,53056
2006,8,5,6,1,29,25.6,32.9,1.5,66.6,26.9,14.97,48765
2006,8,6,7,1,28.3,25.5,32.4,2.2,66.5,25.6,18.59,45705
2006,8,7,1,0,27.2,23.7,31.7,1.3,72.8,26.3,11.66,54798
2006,8,8,2,0,29,24,34.2,1.5,68.3,27,22.72,56169
2006,8,9,3,0,29.2,25.6,34.2,1.5,68,27.5,18.57,57063
2006,8,10,4,0,28.6,24.8,33.2,1.9,61,23.7,18.31,57242
2006,8,11,5,0,26.6,24.5,30.1,1.7,69.8,24.6,10.9,55796
2006,8,12,6,1,27.5,22.7,32.7,1.7,67.6,24.7,22.63,50995
2006,8,13,7,1,28.8,25.1,33.2,1.7,67.3,26.6,22.43,47046
2006,8,14,1,0,29.3,26.5,33.5,2.1,69.4,28.3,21.04,57270
2006,8,15,2,1,28.2,26.2,32.4,1.3,79.3,30.6,10.38,52087
2006,8,16,3,0,28.3,26,31.7,1.6,78.5,30.5,9,58994
2006,8,17,4,0,26.6,24.2,30.8,3,72.4,25.2,15.89,56531
2006,8,18,5,0,26.5,23.3,30.7,4.3,52,18,25.81,54061
2006,8,19,6,1,24.8,20.8,29.7,4,49.5,15.4,18.75,46107
2006,8,20,7,1,23.6,21,26.5,2.3,67.3,19.9,11.72,42970
2006,8,21,1,0,27.2,23,30.5,1.3,63.9,23,13.66,55813
2006,8,22,2,0,27.6,24.3,31.6,1.6,68.8,25.7,10.33,56141
2006,8,23,3,0,27.1,25.2,30.6,1.8,67.4,24.4,12.65,56230
